DWG Number,ASIGateway_label,Tag,Description,Signal Type 1,ASiAddress,ASIGateway_label_order,moduleConfig,moduleId
PID-141,1,20-ZSC/O-4108F,Closed and Open Detection,DIASI,16B,31,"[4, 4]",16
PID-141,1,20-ZSC-4108A,Closed Detection,DIASI,16B,35,"[4, 4]",16
PID-141,1,20-ZSC-4108G,Closed Detection,DIASI,16B,37,"[4, 4]",16
PID-141,1,20-XY-4108F,3-Way Solenoid Valve,DOASI,16B,40,"[4, 4]",16
PID-141,1,20-XY-4108A,3-Way Solenoid Valve,DOASI,16B,44,"[4, 4]",16
PID-141,1,20-ZSC/O-4108E,Closed and Open Detection,DIASI,16B,56,"[4, 4]",16
PID-141,1,20-XY-4108E,3-Way Solenoid Valve,DOASI,16B,58,"[4, 4]",16
PID-141,1,20-XY-4108P,4-Way Solenoid Valve,DOASI,16B,59,"[4, 4]",16
PID-123,1,20-XY-7748.,3-Way Solenoid Valve,DOASI,17B,27,"[2, 1]",17
PID-123,1,20-ZSC-7748.,Closed Detection,DIASI,17B,28,"[2, 1]",17
PID-143,1,20-ZSC-7753.,Closed Detection,DIASI,18B,0,"[2, 1]",18
PID-143,1,20-XY-7753.,3-Way Solenoid Valve,DOASI,18B,19,"[2, 1]",18
PID-101,2,20-XY-0101P,4-Way Solenoid Valve,DOASI,1A,95,"[4, 4]",0
PID-101,2,20-ZIS-0101J,Pig Sensor,DIASI,1A,96,"[4, 4]",0
PID-101,2,20-ZIS-0101K,Pig Sensor,DIASI,1A,97,"[4, 4]",0
PID-101,2,20-ZSC-0101G,Closed Detection,DIASI,1A,108,"[4, 4]",0
PID-101,2,20-ZSO-0101H,Open Detection,DIASI,1A,110,"[4, 4]",0
PID-101,2,20-ZSC-0101M,Closed Detection,DIASI,1B,99,"[2, 2]",1
PID-101,2,20-XY-0101M,3-Way Solenoid Valve,DOASI,1B,105,"[2, 2]",1
PID-101,2,20-ZSC/O-0101E,Closed and Open Detection,DIASI,1B,109,"[2, 2]",1
PID-101,2,20-XY-0101E,3-Way Solenoid Valve,DOASI,1B,111,"[2, 2]",1
PID-101,2,20-ZSC-0101D,Closed Detection,DIASI,2B,98,"[4, 4]",2
PID-101,2,20-XY-0101B,3-Way Solenoid Valve,DOASI,2B,100,"[4, 4]",2
PID-101,2,20-ZSC-0101B,Closed Detection,DIASI,2B,101,"[4, 4]",2
PID-101,2,20-ZSC-0101C,Closed Detection,DIASI,2B,102,"[4, 4]",2
PID-101,2,20-ZSC-0101A,Closed Detection,DIASI,2B,103,"[4, 4]",2
PID-101,2,20-XY-0101D,3-Way Solenoid Valve,DOASI,2B,104,"[4, 4]",2
PID-101,2,20-XY-0101A,3-Way Solenoid Valve,DOASI,2B,106,"[4, 4]",2
PID-101,2,20-XY-0101C,3-Way Solenoid Valve,DOASI,2B,107,"[4, 4]",2
PID-111,2,20-XPL-1100C,Xpress Mfld Pig Launcher,I/O,3B,153,"[4, 0]",3
PID-111,2,20-XPL-1100A,Xpress Mfld Pig Launcher,I/O,3B,160,"[4, 0]",3
PID-111,2,20-XPL-1100B,Xpress Mfld Pig Launcher,I/O,3B,163,"[4, 0]",3
PID-111,2,20-X1FV-1101A,Xpress Mfld Crossover Valve w/ 1 Pig Stop,I/O,4B,154,"[4, 4]",4
PID-111,2,20-XPL-1101?,Xpress Mfld Pig Launcher,I/O,4B,157,"[4, 4]",4
PID-111,2,20-X1FV-1101C,Xpress Mfld Crossover Valve w/ 1 Pig Stop,I/O,4B,159,"[4, 4]",4
PID-111,2,20-X1FV-1101B,Xpress Mfld Crossover Valve w/ 1 Pig Stop,I/O,4B,166,"[4, 4]",4
PID-111,2,20-X1FV-1102C,Xpress Mfld Crossover Valve w/ 1 Pig Stop,I/O,5B,151,"[4, 4]",5
PID-111,2,20-XPL-1102?,Xpress Mfld Pig Launcher,I/O,5B,152,"[4, 4]",5
PID-111,2,20-X1FV-1102B,Xpress Mfld Crossover Valve w/ 1 Pig Stop,I/O,5B,156,"[4, 4]",5
PID-111,2,20-X1FV-1102A,Xpress Mfld Crossover Valve w/ 1 Pig Stop,I/O,5B,164,"[4, 4]",5
PID-111,2,20-X1FV-1103A,Xpress Mfld Crossover Valve w/ 1 Pig Stop,I/O,6B,147,"[4, 4]",6
PID-111,2,20-XPL-1103?,Xpress Mfld Pig Launcher,I/O,6B,161,"[4, 4]",6
PID-111,2,20-X1FV-1103C,Xpress Mfld Crossover Valve w/ 1 Pig Stop,I/O,6B,165,"[4, 4]",6
PID-111,2,20-X1FV-1103B,Xpress Mfld Crossover Valve w/ 1 Pig Stop,I/O,6B,167,"[4, 4]",6
PID-102,2,20-ZSO-0201H,Open Detection,DIASI,7B,112,"[4, 4]",7
PID-102,2,20-ZSC-0201G,Closed Detection,DIASI,7B,113,"[4, 4]",7
PID-102,2,20-ZIS-0201J,Pig Sensor,DIASI,7B,115,"[4, 4]",7
PID-102,2,20-ZIS-0201K,Pig Sensor,DIASI,7B,118,"[4, 4]",7
PID-102,2,20-XY-0201P,4-Way Solenoid Valve,DOASI,7B,126,"[4, 4]",7
PID-102,2,20-XY-0201E,3-Way Solenoid Valve,DOASI,8B,114,"[2, 2]",8
PID-102,2,20-ZSC-0201M,Closed Detection,DIASI,8B,121,"[2, 2]",8
PID-102,2,20-XY-0201M,3-Way Solenoid Valve,DOASI,8B,122,"[2, 2]",8
PID-102,2,20-ZSC/O-0201E,Closed and Open Detection,DIASI,8B,127,"[2, 2]",8
PID-102,2,20-XY-0201D,3-Way Solenoid Valve,DOASI,9B,116,"[4, 4]",9
PID-102,2,20-XY-0201C,3-Way Solenoid Valve,DOASI,9B,117,"[4, 4]",9
PID-102,2,20-XY-0201B,3-Way Solenoid Valve,DOASI,9B,119,"[4, 4]",9
PID-102,2,20-ZSC-0201C,Closed Detection,DIASI,9B,120,"[4, 4]",9
PID-102,2,20-XY-0201A,3-Way Solenoid Valve,DOASI,9B,123,"[4, 4]",9
PID-102,2,20-ZSC-0201D,Closed Detection,DIASI,9B,124,"[4, 4]",9
PID-102,2,20-ZSC-0201A,Closed Detection,DIASI,9B,125,"[4, 4]",9
PID-102,2,20-ZSC-0201B,Closed Detection,DIASI,9B,128,"[4, 4]",9
PID-121,2,20-ZIS-2106K,Pig Sensor,DIASI,10B,193,"[2, 1]",10
PID-121,2,20-ZIS-2106J,Pig Sensor,DIASI,11B,168,"[4, 4]",11
PID-121,2,20-XY-2106E,3-Way Solenoid Valve,DOASI,11B,172,"[4, 4]",11
PID-121,2,20-ZSC-2106A,Closed Detection,DIASI,11B,173,"[4, 4]",11
